Category: Computers & Electronics

Month,deep learning: (Worldwide),machine learning: (Worldwide),artificial intelligence: (Worldwide)
2004-1 0 13 61
2004-2 0 20 73
2004-3 4 20 73
2004-4 5 17 53
2004-5 0 13 42
2004-6 0 7 58
2004-7 0 17 48
2004-8 0 13 48
2004-9 0 8 55
2004-10 0 12 50
2004-11 0 20 59
2004-12 0 10 53
2005-1 3 16 44
2005-2 2 9 58
2005-3 2 17 46
2005-4 0 12 39
2005-5 2 10 44
2005-6 2 8 36
2005-7 0 17 33
2005-8 0 6 32
2005-9 0 14 38
2005-10 0 15 31
2005-11 0 6 37
2005-12 3 10 31
2006-1 1 12 40
2006-2 0 15 33
2006-3 1 10 38
2006-4 1 11 34
2006-5 1 10 24
2006-6 0 4 18
2006-7 3 4 18
2006-8 0 7 25
2006-9 1 9 32
2006-10 1 11 21
2006-11 1 9 23
2006-12 0 8 19
2007-1 1 9 19
2007-2 0 10 23
2007-3 0 7 30
2007-4 1 8 18
2007-5 1 9 20
2007-6 2 11 18
2007-7 1 10 17
2007-8 0 9 19
2007-9 2 9 21
2007-10 1 11 23
2007-11 1 8 22
2007-12 1 7 18
2008-1 1 8 21
2008-2 1 6 23
2008-3 1 7 18
2008-4 1 7 17
2008-5 1 9 15
2008-6 2 8 15
2008-7 1 6 15
2008-8 1 6 15
2008-9 1 6 20
2008-10 2 6 16
2008-11 1 8 18
2008-12 <1 9 18
2009-1 <1 6 18
2009-2 <1 7 22
2009-3 0 7 19
2009-4 0 6 18
2009-5 <1 9 16
2009-6 <1 7 19
2009-7 0 8 38
2009-8 <1 7 29
2009-9 <1 7 22
2009-10 1 9 22
2009-11 1 10 19
2009-12 1 8 22
2010-1 <1 9 23
2010-2 1 8 19
2010-3 1 9 23
2010-4 <1 8 18
2010-5 1 10 18
2010-6 1 7 16
2010-7 <1 8 16
2010-8 <1 7 21
2010-9 <1 8 19
2010-10 1 9 23
2010-11 1 10 18
2010-12 <1 8 17
2011-1 <1 8 17
2011-2 <1 11 23
2011-3 1 9 19
2011-4 <1 8 19
2011-5 1 8 16
2011-6 1 8 14
2011-7 <1 8 14
2011-8 <1 9 18
2011-9 1 10 22
2011-10 <1 13 23
2011-11 1 12 19
2011-12 1 12 21
2012-1 1 12 19
2012-2 1 12 22
2012-3 1 13 20
2012-4 1 13 16
2012-5 1 12 15
2012-6 1 12 18
2012-7 1 12 18
2012-8 1 11 16
2012-9 2 13 19
2012-10 2 13 18
2012-11 1 13 14
2012-12 2 11 15
2013-1 1 12 17
2013-2 1 11 19
2013-3 2 14 17
2013-4 1 14 18
2013-5 1 15 15
2013-6 2 14 16
2013-7 2 13 17
2013-8 2 13 15
2013-9 3 14 18
2013-10 2 18 16
2013-11 3 16 18
2013-12 2 16 15
2014-1 3 17 16
2014-2 4 17 17
2014-3 4 17 19
2014-4 4 20 17
2014-5 5 18 15
2014-6 4 19 16
2014-7 4 18 14
2014-8 4 20 16
2014-9 5 21 21
2014-10 5 20 16
2014-11 5 23 19
2014-12 6 21 18
2015-1 9 22 20
2015-2 9 26 22
2015-3 11 27 19
2015-4 9 28 19
2015-5 10 25 20
2015-6 14 29 18
2015-7 12 31 19
2015-8 12 29 18
2015-9 12 26 20
2015-10 13 32 19
2015-11 16 36 23
2015-12 14 34 19
2016-1 19 34 18
2016-2 20 36 18
2016-3 24 40 20
2016-4 30 42 19
2016-5 28 43 20
2016-6 29 43 18
2016-7 26 38 17
2016-8 29 42 17
2016-9 29 48 23
2016-10 33 51 23
2016-11 37 53 24
2016-12 38 57 24
2017-1 42 60 25
2017-2 48 66 25
2017-3 49 70 28
2017-4 49 72 29
2017-5 51 79 28
2017-6 55 82 26
2017-7 51 80 26
2017-8 56 80 32
2017-9 57 85 35
2017-10 57 91 37
2017-11 63 94 37
2017-12 63 91 35
2018-1 59 90 35
2018-2 61 94 36
2018-3 61 100 37
2018-4 60 96 34
2018-5 60 96 36
